"Date","Description","Amount","Extended Details","Doing Business As","Street Address","City, State Zip","Reference","Category"
"02/02/2015","GOOD FORTUNE CAFE 57GAITHERSBURG MD",11.39,"  3012162828 
  FOOD/BEVERAGE  $10.39 
  TIP  $1.00 
 ","GOOD FORTUNE CAFE","237A KENTLANDS BLVD
GAITHERSBURG
MD","20878-5521
UNITED STATES OF AMERICA (THE)","320150340893876093","Restaurant-Restaurant"
"02/02/2015","STAPLES 00586 (800)333-3330",84.79,"  00586000201855 20878 
  HP ENVY 4500 WIRELESS E-AIO 
  VENDOR FUNDED COUPON 
 ","STAPLES","660 QUINCE ORCHARD RD
GAITHERSBURG
MD","20878-1410
UNITED STATES OF AMERICA (THE)","320150340898164288","Business Services-Office Supplies"
"02/08/2015","GIANT FOOD INC #320 GAITHERSBURG MD",60.33,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150400991972486","Merchandise & Supplies-Groceries"
"02/08/2015","LOWE'S OF GAITHERSBUGAITHERSBURG MD",21.06,"  301-208-0400 
 ","LOWE'S","40 MARKET ST
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150390967692279","Merchandise & Supplies-Hardware Supplies"
"02/09/2015","FES*FLORIST EXPRESS 888-373-7437 CA",52.93,"  FLOWERS 
 ","PROVIDE COMMERCE","4840 EASTGATE MALL
SAN DIEGO
CA","92121-1977
UNITED STATES OF AMERICA (THE)","320150420018588714","Merchandise & Supplies-Internet Purchase"
"02/11/2015","GOOD FORTUNE CAFE 57GAITHERSBURG MD",10.39,"  3012162828 
 ","GOOD FORTUNE CAFE","237A KENTLANDS BLVD
GAITHERSBURG
MD","20878-5521
UNITED STATES OF AMERICA (THE)","320150430032552848","Restaurant-Restaurant"
"02/12/2015","WHOLEFDS KTL 10180 03012589500",67.45,"  3012589500 
  GROCERY STORES 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320150440054219048","Merchandise & Supplies-Groceries"
"02/14/2015","EINSTEIN BROS BAGELSGAITHERSBURG MD",7.40,"  FAST FOOD RESTAURANT 
  Description 
  FOOD/BEVERAGE 
 ","EINSTEIN BROS BAGELS","531 QUINCE ORCHARD RD
GAITHERSBURG
MD","20878-1405
UNITED STATES OF AMERICA (THE)","320150450060763745","Restaurant-Bar & Café"
"02/14/2015","GIANT FOOD INC #150 GAITHERSBURG MD",22.19,"  GROCERY STORE 
 ","GIANT 150","46 BUREAU DR
GAITHERSBURG
MD","20878-1402
UNITED STATES OF AMERICA (THE)","320150460088486293","Merchandise & Supplies-Groceries"
"02/16/2015","LOWE'S OF GAITHERSBUGAITHERSBURG MD",8.46,"  301-208-0400 
 ","LOWE'S","40 MARKET ST
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150470091873600","Merchandise & Supplies-Hardware Supplies"
"02/16/2015","WHOLEFDS KTL 10180 0GAITHERSBURG MD",28.87,"  3012589500 
  Description  Price 
  GROCERY STORES  $28.87 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320150480114183285","Merchandise & Supplies-Groceries"
"02/17/2015","GIANT FOOD INC #320 GAITHERSBURG MD",2.16,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150480106302402","Merchandise & Supplies-Groceries"
"02/17/2015","GIANT FOOD INC #320 GAITHERSBURG MD",12.98,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150480106713316","Merchandise & Supplies-Groceries"
"02/17/2015","THE HOME DEPOT 2550 GAITHERSBURG MD",13.15,"  800-654-0688 
 ","THE HOME DEPOT","15740 SHADY GROVE RD
GAITHERSBURG
MD","20877-1456
UNITED STATES OF AMERICA (THE)","320150490123120089","Merchandise & Supplies-Hardware Supplies"
"02/19/2015","GIANT FOOD INC #150 GAITHERSBURG MD",22.29,"  GROCERY STORE 
 ","GIANT 150","46 BUREAU DR
GAITHERSBURG
MD","20878-1402
UNITED STATES OF AMERICA (THE)","320150510160986770","Merchandise & Supplies-Groceries"
"02/19/2015","GIANT FOOD INC #320 GAITHERSBURG MD",2.50,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150510162591240","Merchandise & Supplies-Groceries"
"02/19/2015","GIANT FOOD INC #320 GAITHERSBURG MD",6.83,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150510161802677","Merchandise & Supplies-Groceries"
"02/21/2015","WHOLEFDS KTL 10180 0GAITHERSBURG MD",30.41,"  3012589500 
  Description  Price 
  GROCERY STORES  $30.41 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320150530190698471","Merchandise & Supplies-Groceries"
"02/23/2015","GIANT FOOD INC #320 GAITHERSBURG MD",1.94,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150550219944929","Merchandise & Supplies-Groceries"
"02/23/2015","GIANT FOOD INC #320 GAITHERSBURG MD",31.45,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150550222849679","Merchandise & Supplies-Groceries"
"03/01/2015","GIANT FOOD INC #150 GAITHERSBURG MD",28.37,"  GROCERY STORE 
 ","GIANT 150","46 BUREAU DR
GAITHERSBURG
MD","20878-1402
UNITED STATES OF AMERICA (THE)","320150610315844023","Merchandise & Supplies-Groceries"
"03/01/2015","OPEN ROAD FALLS CHRURCH VA",40.62,"  571-395-4400 
  TIP  $6.70 
 ","OPEN ROAD","8100 LEE HIGHWAY
FALLS CHRURCH
VA","22046
UNITED STATES OF AMERICA (THE)","320150610316785256","Restaurant-Restaurant"
"03/03/2015","WHOLEFDS KTL 10180 03012589500",81.95,"  3012589500 
  GROCERY STORES 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320150630347037934","Merchandise & Supplies-Groceries"
"03/04/2015","GIANT FOOD INC #320 GAITHERSBURG MD",10.08,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150630337698481","Merchandise & Supplies-Groceries"
"03/06/2015","BIUR:0002 $100 statement credit on spend",-100.00,"  of 1000 dollars within 92 days of 
  acquisition 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150650380191935","Merchandise & Supplies-Groceries"
"03/07/2015","WHOLEFDS KTL 10180 03012589500",35.52,"  3012589500 
  GROCERY STORES 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320150670409474736","Merchandise & Supplies-Groceries"
"03/11/2015","GIANT FOOD INC #320 GAITHERSBURG MD",29.03,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150700445478007","Merchandise & Supplies-Groceries"
"03/12/2015","HOMEGOODS # 0652 0008008880776",13.77,"  8008880776 
  GENERAL MDSE 
 ","HOMEGOODS","602 QUINCE ORCHARD RD
GAITHERSBURG
MD","20878-1410
UNITED STATES OF AMERICA (THE)","320150720477808000","Merchandise & Supplies-Furnishing"
"03/12/2015","JOANN FABRIC #0106 0GAITHERSBURG MD",11.12,"  SEWING & FABRIC STORE 
  Description 
  SEWING NEEDLEWORK 
 ","JOANN FABRICS CRAFTS","2 BUREAU DR
STE A
GAITHERSBURG
MD","20878-1474
UNITED STATES OF AMERICA (THE)","320150720487020329","Merchandise & Supplies-Arts & Jewelry"
"03/12/2015","MICHAELS STORES 8809GAITHERSBURG MD",23.81,"  ARTIST SUPPLY & CRAFT 
 ","MICHAELS","821 CENTER POINT WAY
GAITHERSBURG
MD","20878-6461
UNITED STATES OF AMERICA (THE)","320150720484924521","Merchandise & Supplies-Arts & Jewelry"
"03/12/2015","WHOLEFDS KTL 10180 03012589500",36.20,"  3012589500 
  GROCERY STORES 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320150720482789383","Merchandise & Supplies-Groceries"
"03/14/2015","GIANT FOOD INC #320 GAITHERSBURG MD",31.34,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150740513124014","Merchandise & Supplies-Groceries"
"03/15/2015","SAFEWAY STORE 0945POTOMAC MD",16.41,"  GROCERY STORE 
 ","SAFEWAY","10104 RIVER RD
POTOMAC
MD","20854-4903
UNITED STATES OF AMERICA (THE)","320150750527955998","Merchandise & Supplies-Groceries"
"03/18/2015","GIANT FOOD INC #320 GAITHERSBURG MD",40.68,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150780580494554","Merchandise & Supplies-Groceries"
"03/21/2015","WHOLEFDS KTL 10180 03012589500",63.75,"  3012589500 
  GROCERY STORES 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320150810622170835","Merchandise & Supplies-Groceries"
"03/22/2015","GIANT FOOD INC #150 GAITHERSBURG MD",20.58,"  GROCERY STORE 
 ","GIANT 150","46 BUREAU DR
GAITHERSBURG
MD","20878-1402
UNITED STATES OF AMERICA (THE)","320150820638409798","Merchandise & Supplies-Groceries"
"03/22/2015","OPEN ROAD FALLS CHRURCH VA",43.04,"  571-395-4400 
  TIP  $7.00 
 ","OPEN ROAD","8100 LEE HIGHWAY
FALLS CHRURCH
VA","22046
UNITED STATES OF AMERICA (THE)","320150820642811087","Restaurant-Restaurant"
"03/23/2015","GIANT FOOD INC #320 GAITHERSBURG MD",4.97,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150820630094136","Merchandise & Supplies-Groceries"
"03/25/2015","GIANT FOOD INC #320 GAITHERSBURG MD",32.93,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150840662236238","Merchandise & Supplies-Groceries"
"03/25/2015","STAPLES 00586 (800)333-3330",8.48,"  00586000606339 20878 
  WESTCOTT 8IN RECYCLED 2 PACK 
  UNI-BALL 207 RT GEL MED BLUE 4 
 ","STAPLES","660 QUINCE ORCHARD RD
GAITHERSBURG
MD","20878-1410
UNITED STATES OF AMERICA (THE)","320150850684511745","Business Services-Office Supplies"
"03/29/2015","GIANT FOOD INC #320 GAITHERSBURG MD",60.02,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150890752805672","Merchandise & Supplies-Groceries"
"03/31/2015","MICHAELS STORES 8809GAITHERSBURG MD",25.72,"  ARTIST SUPPLY & CRAFT 
 ","MICHAELS","821 CENTER POINT WAY
GAITHERSBURG
MD","20878-6461
UNITED STATES OF AMERICA (THE)","320150910783086761","Merchandise & Supplies-Arts & Jewelry"
"03/31/2015","WHOLEFDS KTL 10180 03012589500",78.53,"  3012589500 
  GROCERY STORES 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320150910782302444","Merchandise & Supplies-Groceries"
"04/02/2015","WHOLEFDS KTL 10180 0GAITHERSBURG MD",8.21,"  3012589500 
  Description  Price 
  GROCERY STORES  $8.21 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320150930814959061","Merchandise & Supplies-Groceries"
"04/04/2015","GIANT LLC FUEL 346/UFREDERICK MD",17.83,"  FUEL 
  Description 
  UNBRANDED 
  TAX 
 ","GIANT 346","5310 NEW DESIGN RD
FREDERICK
MD","21703
UNITED STATES OF AMERICA (THE)","320150950850698441","Transportation-Fuel"
"04/04/2015","MOMS ORGANIC MARKET FREDERICK MD",11.95,"  301-816-1133 
  Description 
  GROCERIES/SUNDRIES 
 ","MOM'S ORGANIC MARKET","5273 BUCKEYSTOWN PIKE
FREDERICK
MD","21704-7535
UNITED STATES OF AMERICA (THE)","320150950848988890","Merchandise & Supplies-Groceries"
"04/04/2015","MOMS ORGANIC MARKET FREDERICK MD",32.06,"  301-816-1133 
  Description 
  GROCERIES/SUNDRIES 
 ","MOM'S ORGANIC MARKET","5273 BUCKEYSTOWN PIKE
FREDERICK
MD","21704-7535
UNITED STATES OF AMERICA (THE)","320150950852424816","Merchandise & Supplies-Groceries"
"04/06/2015","GIANT FOOD INC #320 GAITHERSBURG MD",45.76,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320150960855586473","Merchandise & Supplies-Groceries"
"04/07/2015","WHOLEFDS KTL 10180 0GAITHERSBURG MD",7.43,"  3012589500 
  Description  Price 
  GROCERY STORES  $7.43 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320150980892226412","Merchandise & Supplies-Groceries"
"04/09/2015","MICHAELS STORES 8809GAITHERSBURG MD",14.32,"  ARTIST SUPPLY & CRAFT 
 ","MICHAELS","821 CENTER POINT WAY
GAITHERSBURG
MD","20878-6461
UNITED STATES OF AMERICA (THE)","320151000926079743","Merchandise & Supplies-Arts & Jewelry"
"04/11/2015","WHOLEFDS KTL 10180 0GAITHERSBURG MD",26.35,"  3012589500 
  Description  Price 
  GROCERY STORES  $26.35 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320151020949987448","Merchandise & Supplies-Groceries"
"04/12/2015","GIANT FOOD INC #150 GAITHERSBURG MD",15.37,"  GROCERY STORE 
 ","GIANT 150","46 BUREAU DR
GAITHERSBURG
MD","20878-1402
UNITED STATES OF AMERICA (THE)","320151030972694211","Merchandise & Supplies-Groceries"
"04/12/2015","PANERA BREAD #1162 0FALLS CHURCH VA",18.19,"  7032070145 
 ","SAINT LOUIS BREAD","8191 STRAWBERRY LANE
FALLS CHURCH
VA","22042
UNITED STATES OF AMERICA (THE)","320151030970085441","Restaurant-Bar & Café"
"04/12/2015","SAFEWAY STORE 1304FALLS CHURCH VA",10.07,"  GROCERY STORE 
 ","SAFEWAY","7397 LEE HWY
FALLS CHURCH
VA","22042-1721
UNITED STATES OF AMERICA (THE)","320151030966399963","Merchandise & Supplies-Groceries"
"04/13/2015","BARNES & NOBLE #2971GAITHERSBURG MD",42.39,"  8662387323 
  Description 
  REFER TO RECEIPT 
 ","BARNES & NOBLE","21 GRAND CORNER AVE
GAITHERSBURG
MD","20878-7305
UNITED STATES OF AMERICA (THE)","320151040981621768","Merchandise & Supplies-Book Stores"
"04/13/2015","GIANT FOOD INC #368 GAITHERSBURG MD",3.50,"  GROCERY STORE 
 ","GIANT 368","842 MUDDY BRANCH RD
GAITHERSBURG
MD","20878-2780
UNITED STATES OF AMERICA (THE)","320151040987216166","Merchandise & Supplies-Groceries"
"04/15/2015","GIANT FOOD INC #320 GAITHERSBURG MD",28.92,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320151060021497372","Merchandise & Supplies-Groceries"
"04/16/2015","LOWE'S OF GAITHERSBUGAITHERSBURG MD",4.21,"  301-208-0400 
 ","LOWE'S","40 MARKET ST
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320151070028774844","Merchandise & Supplies-Hardware Supplies"
"04/19/2015","PANERA BREAD #3767 0GAITHERSBURG MD",8.68,"  3019260510 
 ","PANERA BREAD","285 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320151100083063954","Restaurant-Bar & Café"
"04/19/2015","WHOLEFDS KTL 10180 0GAITHERSBURG MD",50.10,"  3012589500 
  Description  Price 
  GROCERY STORES  $50.10 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320151100083935702","Merchandise & Supplies-Groceries"
"04/20/2015","ARCLIGHT BETHESDA 00BETHESDA MD",11.75,"  3106079630 
  Description 
  GENERAL MERCHANDISE 
 ","ARCLIFGHT BETHESDA","7101 DEMOCRACY BLVD
BETHESDA
MD","20817
UNITED STATES OF AMERICA (THE)","320151110094544787","Entertainment-Theatrical Events"
"04/20/2015","GIANT FOOD INC #150 GAITHERSBURG MD",24.78,"  GROCERY STORE 
 ","GIANT 150","46 BUREAU DR
GAITHERSBURG
MD","20878-1402
UNITED STATES OF AMERICA (THE)","320151100075080470","Merchandise & Supplies-Groceries"
"04/22/2015","ELEPHANT JUMPS 0607 FALLS CHURCH VA",31.50,"  703-942-6600 
  Description 
  FOOD/BEVERAGE 
 ","ELEPHANT JUMPS","8110 ARLINGTON BLVD
FALLS CHURCH
VA","22042-1002
UNITED STATES OF AMERICA (THE)","320151130131232379","Restaurant-Restaurant"
"04/22/2015","GIANT FOOD INC #320 GAITHERSBURG MD",10.99,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320151130133193430","Merchandise & Supplies-Groceries"
"04/22/2015","GIANT FOOD INC #320 GAITHERSBURG MD",53.51,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320151130131770260","Merchandise & Supplies-Groceries"
"04/22/2015","SHELL OIL 5754357630GAITHERSBURG MD",23.72,"  AUTO FUEL DISPENSER 
 ","SHELL","12700 NORTHBOROUGH DR
HOUSTON
TX","77067-2552
UNITED STATES OF AMERICA (THE)","320151130128384500","Transportation-Fuel"
"04/23/2015","GIANT FOOD INC #320 GAITHERSBURG MD",11.07,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320151140151407328","Merchandise & Supplies-Groceries"
"04/26/2015","PANERA BREAD #1162 0FALLS CHURCH VA",22.63,"  7032070145 
 ","SAINT LOUIS BREAD","8191 STRAWBERRY LANE
FALLS CHURCH
VA","22042
UNITED STATES OF AMERICA (THE)","320151170194109791","Restaurant-Bar & Café"
"04/26/2015","WHOLEFDS KTL 10180 0GAITHERSBURG MD",24.58,"  3012589500 
  Description  Price 
  GROCERY STORES  $24.58 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320151170194591292","Merchandise & Supplies-Groceries"
"04/29/2015","GIANT FOOD INC #320 GAITHERSBURG MD",17.61,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320151190219768497","Merchandise & Supplies-Groceries"
"05/03/2015","WHOLEFDS KTL 10180 0GAITHERSBURG MD",22.13,"  3012589500 
  Description  Price 
  GROCERY STORES  $22.13 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320151240308916691","Merchandise & Supplies-Groceries"
"05/03/2015","WHOLEFDS TYS 10049 07034481600",10.74,"  7034481600 
  GROCERY STORES 
 ","WHOLE FOODS MARKET","7511 LEESBURG PIKE
FALLS CHURCH
VA","22043-2105
UNITED STATES OF AMERICA (THE)","320151240308327701","Merchandise & Supplies-Groceries"
"05/04/2015","POTOMAC GARDEN CENTEURBANA MD",57.18,"  LAWN/GARDEN SUPPLIES 
 ","POTOMAC GARDEN CENTER","8710 FINGERBOARD RD
FREDERICK
MD","21704-7613
UNITED STATES OF AMERICA (THE)","320151250321130581","Merchandise & Supplies-Florists & Garden"
"05/05/2015","GIANT FOOD INC #320 GAITHERSBURG MD",6.50,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320151260342651752","Merchandise & Supplies-Groceries"
"05/05/2015","GIANT FOOD INC #320 GAITHERSBURG MD",23.90,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320151260345130965","Merchandise & Supplies-Groceries"
"05/05/2015","WHOLEFDS KTL 10180 0GAITHERSBURG MD",29.12,"  3012589500 
  Description  Price 
  GROCERY STORES  $29.12 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320151260342073170","Merchandise & Supplies-Groceries"
"05/06/2015","LOWE'S OF GAITHERSBUGAITHERSBURG MD",17.64,"  301-208-0400 
 ","LOWE'S","40 MARKET ST
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320151260334313833","Merchandise & Supplies-Hardware Supplies"
"05/07/2015","GIANT FOOD INC #320 GAITHERSBURG MD",25.65,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320151280379386194","Merchandise & Supplies-Groceries"
"05/12/2015","GIANT FOOD INC #320 GAITHERSBURG MD",7.38,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320151330459068629","Merchandise & Supplies-Groceries"
"05/12/2015","GIANT FOOD INC #320 GAITHERSBURG MD",73.16,"  GROCERY STORE 
 ","GIANT FOOD","229 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5446
UNITED STATES OF AMERICA (THE)","320151330458846702","Merchandise & Supplies-Groceries"
"05/16/2015","SEARS ROEBUCK 01754 GAITHERSBURG MD",22.25,"  _ 
  Description  Price 
  FLOORCARE AND SEWIN  $20.99 
 ","SEARS","701 RUSSELL AVE
STE 1
GAITHERSBURG
MD","20877-2612
UNITED STATES OF AMERICA (THE)","320151370522348991","Merchandise & Supplies-Department Stores"
"05/16/2015","SEARS ROEBUCK 01754 GAITHERSBURG MD",50.90,"  _ 
  Description  Price 
  MENS SPORTSWEAR  $19.99 
  MENS SPORTSWEAR  $17.99 
  TEAM SPORTSWEAR  $9.99 
  GENERAL MERCHANDISE  $0.05 
 ","SEARS","701 RUSSELL AVE
STE 1
GAITHERSBURG
MD","20877-2612
UNITED STATES OF AMERICA (THE)","320151370522915369","Merchandise & Supplies-Department Stores"
"05/16/2015","TRADER JOE'S #648 QGAITHERSBURG MD",11.07,"  626-599-3700 
  Description 
  GROCERY STORES,SUPE 
 ","TRADER JOE'S","18270 CONTOUR RD
MONTGOMERY VILLAGE
MD","20877-2625
UNITED STATES OF AMERICA (THE)","320151370519117951","Merchandise & Supplies-Groceries"
"05/16/2015","WHOLEFDS KTL 10180 03012589500",30.73,"  3012589500 
  GROCERY STORES 
 ","WHOLE FOODS MARKET","316 KENTLANDS BLVD
GAITHERSBURG
MD","20878-5458
UNITED STATES OF AMERICA (THE)","320151370518650688","Merchandise & Supplies-Groceries"
